nomeCandidato,numeroCandidato,votiCandidato,numeroLista,nomeLista,numeroSezione,nomeSezione
Lomonte Ciro,1,0,6,SICILIANI LIBERI,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Cassata Castrenze detto Enzo,2,0,6,SICILIANI LIBERI,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Pititto Maria Antonietta,3,0,6,SICILIANI LIBERI,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Badalamenti Giorgio,4,0,6,SICILIANI LIBERI,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Bellavia Vincenza,5,0,6,SICILIANI LIBERI,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Blanda Antonietta Maria,6,0,6,SICILIANI LIBERI,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Bortolin Liliana,7,0,6,SICILIANI LIBERI,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Brex Rosalinda,8,0,6,SICILIANI LIBERI,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
D'Amico Michele,9,0,6,SICILIANI LIBERI,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Lo Dico Marco,10,0,6,SICILIANI LIBERI,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Lungone Silvia,11,0,6,SICILIANI LIBERI,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Matranga Fabrizio,12,0,6,SICILIANI LIBERI,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Melodia Armando,13,0,6,SICILIANI LIBERI,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Orobello Lidia,14,0,6,SICILIANI LIBERI,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Richichi Roberto,15,0,6,SICILIANI LIBERI,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Simile Gaetano,16,0,6,SICILIANI LIBERI,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Lomonte Ciro,1,0,6,SICILIANI LIBERI,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Cassata Castrenze detto Enzo,2,0,6,SICILIANI LIBERI,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Pititto Maria Antonietta,3,0,6,SICILIANI LIBERI,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Badalamenti Giorgio,4,0,6,SICILIANI LIBERI,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Bellavia Vincenza,5,0,6,SICILIANI LIBERI,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Blanda Antonietta Maria,6,0,6,SICILIANI LIBERI,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Bortolin Liliana,7,0,6,SICILIANI LIBERI,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Brex Rosalinda,8,0,6,SICILIANI LIBERI,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
D'Amico Michele,9,0,6,SICILIANI LIBERI,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Lo Dico Marco,10,0,6,SICILIANI LIBERI,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Lungone Silvia,11,0,6,SICILIANI LIBERI,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Matranga Fabrizio,12,0,6,SICILIANI LIBERI,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Melodia Armando,13,0,6,SICILIANI LIBERI,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Orobello Lidia,14,0,6,SICILIANI LIBERI,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Richichi Roberto,15,0,6,SICILIANI LIBERI,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Simile Gaetano,16,0,6,SICILIANI LIBERI,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Lomonte Ciro,1,0,6,SICILIANI LIBERI,3,"SCUOLA PRIM.E DELL'INF.""CASTELLANA"" VIA CASTELLANA N.40"
Cassata Castrenze detto Enzo,2,0,6,SICILIANI LIBERI,3,"SCUOLA PRIM.E DELL'INF.""CASTELLANA"" VIA CASTELLANA N.40"
Pititto Maria Antonietta,3,0,6,SICILIANI LIBERI,3,"SCUOLA PRIM.E DELL'INF.""CASTELLANA"" VIA CASTELLANA N.40"
Badalamenti Giorgio,4,0,6,SICILIANI LIBERI,3,"SCUOLA PRIM.E DELL'INF.""CASTELLANA"" VIA CASTELLANA N.40"
Bellavia Vincenza,5,0,6,SICILIANI LIBERI,3,"SCUOLA PRIM.E DELL'INF.""CASTELLANA"" VIA CASTELLANA N.40"
Blanda Antonietta Maria,6,0,6,SICILIANI LIBERI,3,"SCUOLA PRIM.E DELL'INF.""CASTELLANA"" VIA CASTELLANA N.40"
Bortolin Liliana,7,0,6,SICILIANI LIBERI,3,"SCUOLA PRIM.E DELL'INF.""CASTELLANA"" VIA CASTELLANA N.40"
Brex Rosalinda,8,0,6,SICILIANI LIBERI,3,"SCUOLA PRIM.E DELL'INF.""CASTELLANA"" VIA CASTELLANA N.40"
D'Amico Michele,9,0,6,SICILIANI LIBERI,3,"SCUOLA PRIM.E DELL'INF.""CASTELLANA"" VIA CASTELLANA N.40"
Lo Dico Marco,10,0,6,SICILIANI LIBERI,3,"SCUOLA PRIM.E DELL'INF.""CASTELLANA"" VIA CASTELLANA N.40"
Lungone Silvia,11,0,6,SICILIANI LIBERI,3,"SCUOLA PRIM.E DELL'INF.""CASTELLANA"" VIA CASTELLANA N.40"
Matranga Fabrizio,12,0,6,SICILIANI LIBERI,3,"SCUOLA PRIM.E DELL'INF.""CASTELLANA"" VIA CASTELLANA N.40"
Melodia Armando,13,0,6,SICILIANI LIBERI,3,"SCUOLA PRIM.E DELL'INF.""CASTELLANA"" VIA CASTELLANA N.40"
Orobello Lidia,14,0,6,SICILIANI LIBERI,3,"SCUOLA PRIM.E DELL'INF.""CASTELLANA"" VIA CASTELLANA N.40"
Richichi Roberto,15,0,6,SICILIANI LIBERI,3,"SCUOLA PRIM.E DELL'INF.""CASTELLANA"" VIA CASTELLANA N.40"
Simile Gaetano,16,0,6,SICILIANI LIBERI,3,"SCUOLA PRIM.E DELL'INF.""CASTELLANA"" VIA CASTELLANA N.40"
Lomonte Ciro,1,0,6,SICILIANI LIBERI,4,"SCUOLA PRIMARIA ""VITALI"" VIA INSERRA N.1"
Cassata Castrenze detto Enzo,2,0,6,SICILIANI LIBERI,4,"SCUOLA PRIMARIA ""VITALI"" VIA INSERRA N.1"
Pititto Maria Antonietta,3,0,6,SICILIANI LIBERI,4,"SCUOLA PRIMARIA ""VITALI"" VIA INSERRA N.1"
Badalamenti Giorgio,4,0,6,SICILIANI LIBERI,4,"SCUOLA PRIMARIA ""VITALI"" VIA INSERRA N.1"
Bellavia Vincenza,5,0,6,SICILIANI LIBERI,4,"SCUOLA PRIMARIA ""VITALI"" VIA INSERRA N.1"
Blanda Antonietta Maria,6,0,6,SICILIANI LIBERI,4,"SCUOLA PRIMARIA ""VITALI"" VIA INSERRA N.1"
Bortolin Liliana,7,0,6,SICILIANI LIBERI,4,"SCUOLA PRIMARIA ""VITALI"" VIA INSERRA N.1"
Brex Rosalinda,8,0,6,SICILIANI LIBERI,4,"SCUOLA PRIMARIA ""VITALI"" VIA INSERRA N.1"
D'Amico Michele,9,0,6,SICILIANI LIBERI,4,"SCUOLA PRIMARIA ""VITALI"" VIA INSERRA N.1"
Lo Dico Marco,10,0,6,SICILIANI LIBERI,4,"SCUOLA PRIMARIA ""VITALI"" VIA INSERRA N.1"
Lungone Silvia,11,0,6,SICILIANI LIBERI,4,"SCUOLA PRIMARIA ""VITALI"" VIA INSERRA N.1"
Matranga Fabrizio,12,0,6,SICILIANI LIBERI,4,"SCUOLA PRIMARIA ""VITALI"" VIA INSERRA N.1"
Melodia Armando,13,0,6,SICILIANI LIBERI,4,"SCUOLA PRIMARIA ""VITALI"" VIA INSERRA N.1"
Orobello Lidia,14,0,6,SICILIANI LIBERI,4,"SCUOLA PRIMARIA ""VITALI"" VIA INSERRA N.1"
Richichi Roberto,15,0,6,SICILIANI LIBERI,4,"SCUOLA PRIMARIA ""VITALI"" VIA INSERRA N.1"
Simile Gaetano,16,0,6,SICILIANI LIBERI,4,"SCUOLA PRIMARIA ""VITALI"" VIA INSERRA N.1"
Lomonte Ciro,1,0,6,SICILIANI LIBERI,5,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Cassata Castrenze detto Enzo,2,0,6,SICILIANI LIBERI,5,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Pititto Maria Antonietta,3,0,6,SICILIANI LIBERI,5,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Badalamenti Giorgio,4,0,6,SICILIANI LIBERI,5,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Bellavia Vincenza,5,0,6,SICILIANI LIBERI,5,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Blanda Antonietta Maria,6,0,6,SICILIANI LIBERI,5,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Bortolin Liliana,7,0,6,SICILIANI LIBERI,5,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
