numeroCandidato|siglaCandidato|nomeCandidato
1|Grasso V.|Grasso Valeria
2|Vella D.|Vella Daniele Nicola
3|Ognibene R.|Ognibene Rosario
4|Gambino B.|Gambino Benedetto detto Benito
5|Pucci M.|Pucci Maria Stella
6|Trinca F.|Trinca Francesco
7|Scavone A.|Scavone Aurelio
8|Ferrarello G.|Ferrarello Giuseppe detto Firrarello
9|Zuccaro S.|Zuccaro Salvatore detto Zucchero
10|Russo A.|Russo Antonino detto Tonino
11|Sala A.|Sala Antonino detto Toni, Claudio
12|Maniaci G.|Maniaci Giosué
13|Allegra A.|Allegra Alessio
14|Guggino S.|Guggino Sonia
15|Atzori T.|Atzori Teresa
16|Zagra S.|Zagra Susanna
