nomeCandidato,numeroCandidato,votiCandidato,numeroLista,nomeLista,numeroSezione,nomeSezione
Trizzino Giampiero,1,0,2,MOVIMENTO 5 STELLE,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Siragusa Salvatore detto Siracusa,2,0,2,MOVIMENTO 5 STELLE,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Callea Quarto Giovanni,3,0,2,MOVIMENTO 5 STELLE,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Vilardi Rosa detta Rossella,4,0,2,MOVIMENTO 5 STELLE,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Aiello Davide,5,0,2,MOVIMENTO 5 STELLE,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Sunseri Luigi,6,0,2,MOVIMENTO 5 STELLE,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Moscarelli Angelo,7,0,2,MOVIMENTO 5 STELLE,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Schembri Lydia Angela,8,0,2,MOVIMENTO 5 STELLE,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Schillaci Roberta,9,0,2,MOVIMENTO 5 STELLE,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Trifirò Carmela,10,0,2,MOVIMENTO 5 STELLE,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Parente Antonio,11,0,2,MOVIMENTO 5 STELLE,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Favuzza Erika,12,0,2,MOVIMENTO 5 STELLE,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
"Listì Maman Alì detto Alì, Ali, Listì, Listi, Maman",13,0,2,MOVIMENTO 5 STELLE,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Li Destri Giacomo,14,0,2,MOVIMENTO 5 STELLE,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
"Lo Bianco Rosaria detta Rossella, detta Bianco",15,0,2,MOVIMENTO 5 STELLE,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Cimò Gianluca,16,0,2,MOVIMENTO 5 STELLE,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Trizzino Giampiero,1,0,2,MOVIMENTO 5 STELLE,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Siragusa Salvatore detto Siracusa,2,0,2,MOVIMENTO 5 STELLE,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Callea Quarto Giovanni,3,0,2,MOVIMENTO 5 STELLE,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Vilardi Rosa detta Rossella,4,0,2,MOVIMENTO 5 STELLE,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Aiello Davide,5,0,2,MOVIMENTO 5 STELLE,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Sunseri Luigi,6,0,2,MOVIMENTO 5 STELLE,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Moscarelli Angelo,7,0,2,MOVIMENTO 5 STELLE,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Schembri Lydia Angela,8,0,2,MOVIMENTO 5 STELLE,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Schillaci Roberta,9,0,2,MOVIMENTO 5 STELLE,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Trifirò Carmela,10,0,2,MOVIMENTO 5 STELLE,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Parente Antonio,11,0,2,MOVIMENTO 5 STELLE,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Favuzza Erika,12,0,2,MOVIMENTO 5 STELLE,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
"Listì Maman Alì detto Alì, Ali, Listì, Listi, Maman",13,0,2,MOVIMENTO 5 STELLE,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
