numeroCandidato|siglaCandidato|nomeCandidato
1|Lomonte C.|Lomonte Ciro
2|Cassata C.|Cassata Castrenze detto Enzo
3|Pititto M.|Pititto Maria Antonietta
4|Badalamenti G.|Badalamenti Giorgio
5|Bellavia V.|Bellavia Vincenza
6|Blanda A.|Blanda Antonietta Maria
7|Bortolin L.|Bortolin Liliana
8|Brex R.|Brex Rosalinda
9|D'Amico M.|D'Amico Michele
10|Lo Dico M.|Lo Dico Marco
11|Lungone S.|Lungone Silvia
12|Matranga F.|Matranga Fabrizio
13|Melodia A.|Melodia Armando
14|Orobello L.|Orobello Lidia
15|Richichi R.|Richichi Roberto
16|Simile G.|Simile Gaetano
