nomeCandidato,numeroCandidato,votiCandidato,numeroLista,nomeLista,numeroSezione,nomeSezione
"Mangano Carmencita detta Carmensita, Carmen, Carmenzita",1,0,9,ALTERNATIVA POPOLARE CENTRISTI X MICARI,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Latteri Mario detto Adelfio,2,0,9,ALTERNATIVA POPOLARE CENTRISTI X MICARI,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Caracausi Paolo,3,0,9,ALTERNATIVA POPOLARE CENTRISTI X MICARI,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Scarpinato Francesco Paolo,4,0,9,ALTERNATIVA POPOLARE CENTRISTI X MICARI,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
"Nasca Michelangelo detto Michele, Nasta",5,0,9,ALTERNATIVA POPOLARE CENTRISTI X MICARI,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Bono Giuseppe,6,0,9,ALTERNATIVA POPOLARE CENTRISTI X MICARI,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Bonanno Cristina detta Buonanno,7,0,9,ALTERNATIVA POPOLARE CENTRISTI X MICARI,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
"Callipari Rosario detto Calipari, Gallipari",8,0,9,ALTERNATIVA POPOLARE CENTRISTI X MICARI,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
La Rosa Salvatore,9,0,9,ALTERNATIVA POPOLARE CENTRISTI X MICARI,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Lo Piccolo Stefano Silvio detto Stefano,10,0,9,ALTERNATIVA POPOLARE CENTRISTI X MICARI,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Ludovico Daniela,11,0,9,ALTERNATIVA POPOLARE CENTRISTI X MICARI,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Napoli Filippo,12,0,9,ALTERNATIVA POPOLARE CENTRISTI X MICARI,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Perricone Monica,13,0,9,ALTERNATIVA POPOLARE CENTRISTI X MICARI,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Pilato Laura,14,0,9,ALTERNATIVA POPOLARE CENTRISTI X MICARI,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Reale Stefano,15,0,9,ALTERNATIVA POPOLARE CENTRISTI X MICARI,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Vallone Antonino detto Nino,16,0,9,ALTERNATIVA POPOLARE CENTRISTI X MICARI,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
"Mangano Carmencita detta Carmensita, Carmen, Carmenzita",1,0,9,ALTERNATIVA POPOLARE CENTRISTI X MICARI,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Latteri Mario detto Adelfio,2,0,9,ALTERNATIVA POPOLARE CENTRISTI X MICARI,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Caracausi Paolo,3,0,9,ALTERNATIVA POPOLARE CENTRISTI X MICARI,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Scarpinato Francesco Paolo,4,0,9,ALTERNATIVA POPOLARE CENTRISTI X MICARI,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
"Nasca Michelangelo detto Michele, Nasta",5,0,9,ALTERNATIVA POPOLARE CENTRISTI X MICARI,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Bono Giuseppe,6,0,9,ALTERNATIVA POPOLARE CENTRISTI X MICARI,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Bonanno Cristina detta Buonanno,7,0,9,ALTERNATIVA POPOLARE CENTRISTI X MICARI,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
"Callipari Rosario detto Calipari, Gallipari",8,0,9,ALTERNATIVA POPOLARE CENTRISTI X MICARI,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
La Rosa Salvatore,9,0,9,ALTERNATIVA POPOLARE CENTRISTI X MICARI,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Lo Piccolo Stefano Silvio detto Stefano,10,0,9,ALTERNATIVA POPOLARE CENTRISTI X MICARI,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Ludovico Daniela,11,0,9,ALTERNATIVA POPOLARE CENTRISTI X MICARI,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Napoli Filippo,12,0,9,ALTERNATIVA POPOLARE CENTRISTI X MICARI,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Perricone Monica,13,0,9,ALTERNATIVA POPOLARE CENTRISTI X MICARI,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Pilato Laura,14,0,9,ALTERNATIVA POPOLARE CENTRISTI X MICARI,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Reale Stefano,15,0,9,ALTERNATIVA POPOLARE CENTRISTI X MICARI,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Vallone Antonino detto Nino,16,0,9,ALTERNATIVA POPOLARE CENTRISTI X MICARI,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
