nomeCandidato,numeroCandidato,votiCandidato,numeroLista,nomeLista,numeroSezione,nomeSezione
Alessi Giuseppe,1,0,3,FRATELLI D'ITALIA AN ALLEANZA PER LA SICILIA NOI CON SALVINI MUSUMECI PRESIDENTE,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Briganò Vincenzo detto Enzo,2,0,3,FRATELLI D'ITALIA AN ALLEANZA PER LA SICILIA NOI CON SALVINI MUSUMECI PRESIDENTE,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Briguglio Marco detto Briguglia,3,0,3,FRATELLI D'ITALIA AN ALLEANZA PER LA SICILIA NOI CON SALVINI MUSUMECI PRESIDENTE,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Cancemi Anna,4,0,3,FRATELLI D'ITALIA AN ALLEANZA PER LA SICILIA NOI CON SALVINI MUSUMECI PRESIDENTE,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Caputo Mario detto Salvino,5,0,3,FRATELLI D'ITALIA AN ALLEANZA PER LA SICILIA NOI CON SALVINI MUSUMECI PRESIDENTE,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
"Caravella Caterina detta Katia, Catia",6,0,3,FRATELLI D'ITALIA AN ALLEANZA PER LA SICILIA NOI CON SALVINI MUSUMECI PRESIDENTE,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Di Blasi Giuseppe,7,0,3,FRATELLI D'ITALIA AN ALLEANZA PER LA SICILIA NOI CON SALVINI MUSUMECI PRESIDENTE,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
"Falzone Alissone Fanny detta Falzone, Alissone",8,0,3,FRATELLI D'ITALIA AN ALLEANZA PER LA SICILIA NOI CON SALVINI MUSUMECI PRESIDENTE,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Fricano Calogero,9,0,3,FRATELLI D'ITALIA AN ALLEANZA PER LA SICILIA NOI CON SALVINI MUSUMECI PRESIDENTE,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Genova Agostino,10,0,3,FRATELLI D'ITALIA AN ALLEANZA PER LA SICILIA NOI CON SALVINI MUSUMECI PRESIDENTE,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Guzzo Mariano,11,0,3,FRATELLI D'ITALIA AN ALLEANZA PER LA SICILIA NOI CON SALVINI MUSUMECI PRESIDENTE,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Incarbona Andreina,12,0,3,FRATELLI D'ITALIA AN ALLEANZA PER LA SICILIA NOI CON SALVINI MUSUMECI PRESIDENTE,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Lombardo Daniela,13,0,3,FRATELLI D'ITALIA AN ALLEANZA PER LA SICILIA NOI CON SALVINI MUSUMECI PRESIDENTE,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Longo Salvatore detto Toti,14,0,3,FRATELLI D'ITALIA AN ALLEANZA PER LA SICILIA NOI CON SALVINI MUSUMECI PRESIDENTE,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
"Rizzotto Antonino detto Tony, Rizzuto",15,0,3,FRATELLI D'ITALIA AN ALLEANZA PER LA SICILIA NOI CON SALVINI MUSUMECI PRESIDENTE,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Torre Angelo,16,0,3,FRATELLI D'ITALIA AN ALLEANZA PER LA SICILIA NOI CON SALVINI MUSUMECI PRESIDENTE,1,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53"
Alessi Giuseppe,1,0,3,FRATELLI D'ITALIA AN ALLEANZA PER LA SICILIA NOI CON SALVINI MUSUMECI PRESIDENTE,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Briganò Vincenzo detto Enzo,2,0,3,FRATELLI D'ITALIA AN ALLEANZA PER LA SICILIA NOI CON SALVINI MUSUMECI PRESIDENTE,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Briguglio Marco detto Briguglia,3,0,3,FRATELLI D'ITALIA AN ALLEANZA PER LA SICILIA NOI CON SALVINI MUSUMECI PRESIDENTE,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Cancemi Anna,4,0,3,FRATELLI D'ITALIA AN ALLEANZA PER LA SICILIA NOI CON SALVINI MUSUMECI PRESIDENTE,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Caputo Mario detto Salvino,5,0,3,FRATELLI D'ITALIA AN ALLEANZA PER LA SICILIA NOI CON SALVINI MUSUMECI PRESIDENTE,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
"Caravella Caterina detta Katia, Catia",6,0,3,FRATELLI D'ITALIA AN ALLEANZA PER LA SICILIA NOI CON SALVINI MUSUMECI PRESIDENTE,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Di Blasi Giuseppe,7,0,3,FRATELLI D'ITALIA AN ALLEANZA PER LA SICILIA NOI CON SALVINI MUSUMECI PRESIDENTE,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
"Falzone Alissone Fanny detta Falzone, Alissone",8,0,3,FRATELLI D'ITALIA AN ALLEANZA PER LA SICILIA NOI CON SALVINI MUSUMECI PRESIDENTE,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Fricano Calogero,9,0,3,FRATELLI D'ITALIA AN ALLEANZA PER LA SICILIA NOI CON SALVINI MUSUMECI PRESIDENTE,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Genova Agostino,10,0,3,FRATELLI D'ITALIA AN ALLEANZA PER LA SICILIA NOI CON SALVINI MUSUMECI PRESIDENTE,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
Guzzo Mariano,11,0,3,FRATELLI D'ITALIA AN ALLEANZA PER LA SICILIA NOI CON SALVINI MUSUMECI PRESIDENTE,2,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56"
